wavelength	intensity	cleaned_intensity
414.477	5090.0	5090.0
414.515	5230.0	5230.0
414.552	5069.0	5069.0
414.589	5113.0	5113.0
414.626	5101.0	5101.0
414.663	4989.0	4989.0
414.701	5018.0	5018.0
414.738	5016.0	5016.0
414.775	5100.0	5100.0
414.812	5094.0	5094.0
414.849	5076.0	5076.0
414.886	5021.0	5021.0
414.924	5030.0	5030.0
414.961	5001.0	5001.0
414.998	5006.0	5006.0
415.035	4979.0	4979.0
415.072	4908.0	4908.0
415.109	4983.0	4983.0
415.146	5101.0	5101.0
415.184	4996.0	4996.0
415.221	5006.0	5006.0
415.258	4879.0	4879.0
415.295	4865.0	4865.0
415.332	4890.0	4890.0
415.369	4996.0	4996.0
415.406	5001.0	5001.0
415.443	4927.0	4927.0
415.48	4937.0	4937.0
415.518	5023.0	5023.0
415.555	5067.0	5067.0
415.592	5032.0	5032.0
415.629	5048.0	5048.0
415.666	4981.0	4981.0
415.703	5061.0	5061.0
415.74	5005.0	5005.0
415.777	5038.0	5038.0
415.814	4972.0	4972.0
415.851	5202.0	5202.0
415.889	5062.0	5062.0
415.926	5088.0	5088.0
415.963	5107.0	5107.0
416.0	5011.0	5011.0
416.037	5156.0	5156.0
416.074	5074.0	5074.0
416.111	5099.0	5099.0
416.148	5148.0	5148.0
416.185	5123.0	5123.0
416.222	5112.0	5112.0
416.259	5104.0	5104.0
416.296	5171.0	5171.0
416.333	5156.0	5156.0
416.37	5063.0	5063.0
416.407	5214.0	5214.0
416.444	5207.0	5207.0
416.481	5204.0	5204.0
416.518	5214.0	5214.0
416.555	5195.0	5195.0
416.592	5283.0	5283.0
416.63	5242.0	5242.0
416.667	5188.0	5188.0
416.704	5168.0	5168.0
416.741	5310.0	5310.0
416.778	5238.0	5238.0
416.815	5268.0	5268.0
416.852	5347.0	5347.0
416.889	5340.0	5340.0
416.926	5340.0	5340.0
416.963	5286.0	5286.0
417.0	5364.0	5364.0
417.037	5272.0	5272.0
417.074	5407.0	5407.0
417.111	5391.0	5391.0
417.148	5447.0	5447.0
417.185	5514.0	5514.0
417.222	5376.0	5376.0
417.258	5492.0	5492.0
417.295	5490.0	5490.0
417.332	5530.0	5530.0
417.369	5613.0	5613.0
417.406	5504.0	5504.0
417.443	5647.0	5647.0
417.48	5706.0	5706.0
417.517	5702.0	5702.0
417.554	5786.0	5786.0
417.591	5760.0	5760.0
417.628	5831.0	5831.0
417.665	5783.0	5783.0
417.702	5763.0	5763.0
417.739	5845.0	5845.0
417.776	5855.0	5855.0
